-,2011,2012,2013,2014,2015,2016,2017,2018,2019
무,25,23.3,25.9,25.8,24.7,19.8,22.5,23.9,21.5
배추,61.7,51.6,56.2,58.5,49.3,44.3,57,58.7,47.5
마늘,7.8,7.8,8.9,8.2,6.8,6.6,6.9,7.6,8.2
양파,30.4,26,26.7,30.6,26.7,26.7,25.7,30.8,30.9
고추,3.6,3.6,3.7,3.4,3.4,3.3,3,3.1,3.1
사과,7.5,7.8,9.7,9.3,11.4,11.2,10.5,9.2,10.3
배,5.5,3.1,5.2,5.5,4.7,4.1,4.6,3.3,3.3
복숭아,3.7,4,3.8,4.1,3,4,4.3,4,4.1
포도,6.3,6.6,6.3,6.5,5.7,5.4,4.7,4.5,4.5
감,3.3,3.3,3,3,2.9,2.3,2.1,1.9,1.8
귤,13.6,13.7,13.4,14.2,12.5,11.9,11.6,12,12.1
참깨,1.78,1.77,1.95,2.03,1.86,1.79,1.78,1.61,1.81
땅콩,0.86,0.79,0.84,0.92,0.83,0.84,0.83,0.85,0.8
들깨,1.15,1.02,1.27,1.33,1.49,1.52,1.47,1.07,1.29
소고기,10.2,9.7,10.3,10.8,10.9,11.6,11.3,12.7,13
돼지고기,19,19.2,20.9,21.5,22.5,24.1,24.5,27,26.8
닭고기,11.4,11.6,11.5,12.8,13.4,13.8,13.3,14.2,14.8
계란,232,242,242,254,268,274,248,268,282
우유,2892,2684,3034,3079,3184,3227,3464,3496,-
쌀,71.2,69.8,67.2,65.1,62.9,61.9,61.8,61,59.2
보리쌀,1.3,1.3,1.3,1.3,1.3,1.4,1.3,1.3,1.4
밀가루,35,32.9,31.3,31.7,32.2,32.1,32.4,31.6,31.6
옥수수,3.7,3.7,3.5,3.5,3.6,3.4,3.3,3.2,3.1
콩,7.8,8,7.9,8.1,8.2,8,6.5,6.4,6.3
탁주,0.829,0.8,0.752,0.75,0.714,0.678,0.687,0.668,-
약주,0.054,0.047,0.041,0.034,0.031,0.031,0.029,0.03,-
