지출목적별,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
0 총지수,94.717,96.789,98.048,99.298,100,100.97,102.93,104.45,104.85,105.42
01 식료품 · 비주류음료,93.55,97.256,98.09,98.377,100,102.31,105.78,108.72,108.77,113.58
01.1 식료품,93.745,97.441,98.164,98.39,100,102.47,106.22,109.3,109.24,114.35
빵 및 곡물,91.252,95.558,99.84,100.547,100,98.08,98.27,107.23,113.18,113.81
쌀,90.052,98.742,104.157,102.321,100,89.68,84.82,107.79,116.83,117.77
현미,-,-,-,-,100,96,89.86,103.25,120.39,115.76
찹쌀,108.693,97.12,104.217,99.737,100,95.67,89.34,103.94,120.66,115.3
보리쌀,65.053,78.826,95.264,103.562,100,100.88,102.77,106.35,104.59,95.69
콩,125.332,116.332,120.304,105.726,100,91.71,117.71,136.34,149.25,130.54
땅콩,81.066,108.366,105.965,98.204,100,100.57,99.12,99.1,106.11,112.61
혼식곡,109.805,105.375,122.535,111.785,100,93.06,89,95.56,103.23,102.35
밀가루,88.91,89.6,98.42,100.896,100,98.92,97.79,98.83,100.5,99.43
국수,100.333,102.897,104.151,103.366,100,98.93,95.68,94.99,93.31,95.8
라면,92.533,99.411,99.921,100.002,100,99.37,104.77,105.11,104.99,104.78
당면,95.931,98.732,99.234,99.909,100,100.33,100.5,102.31,104.47,104.94
두부,92.197,93.601,99.603,100.144,100,101.62,99.16,99.08,100.88,103.12
시리얼,102.462,104.647,99.274,95.737,100,99.37,94.73,92.72,93.85,94.17
부침가루,95.084,100.125,98.545,99.748,100,96.81,99.27,97.96,97.71,99.31
케이크,90.351,92.378,92.647,98.113,100,104.33,111.2,114.55,117.81,119.86
빵,83.587,86.963,93.256,98.896,100,103.78,105.8,112.53,118.04,120.37
떡,93.449,95.804,97.818,99.32,100,100.41,100.98,104.33,112.3,114.31
파스타면,-,-,-,-,100,95.59,95.4,95.81,96.42,103.03
육류,95.57,89.644,87.956,95.927,100,104.43,106.39,105.97,105.63,112.95
소고기,86.71,86.133,87.223,96.545,100,102.2,104.82,106.5,110.28,112.18
돼지고기,102.993,89.019,83.222,96.468,100,100.65,106.87,102.99,98.97,109.59
닭고기,103.528,100.39,105.548,102.167,100,96.67,101.46,99.15,100.49,96.39
소시지,89.992,91.458,87.29,93.46,100,100.23,98.2,97.22,96.81,101.65
햄및베이컨,92.835,94.668,93.578,98.305,100,95.85,92.37,93.8,92.28,96.46
어류 및 수산,93.671,96.196,97.484,99.204,100,102.61,108.17,111.92,113.22,119.86
갈치,83.396,95.52,95.496,94.475,100,109.16,106.66,95.28,93.17,99.71
명태,106.135,91.045,90.239,94.754,100,103.02,106,106.34,108.73,120.46
조기,91.661,95.964,99.932,100.717,100,100.03,97.95,97.36,95.35,95.21
고등어,108.753,97.351,95.298,99.877,100,96.54,96.39,97.46,94.3,106.35
오징어,109.583,104.744,98.453,98.963,100,103.65,155.34,187.77,190.65,212.87
게,97.078,97.265,97.737,97.114,100,127.09,126.76,134.55,138.62,144.9
굴,90.052,92.706,89.154,95.132,100,106.97,107.13,104.24,106.16,113.73
조개,77.439,89.772,98.378,99.458,100,106.64,112.11,114.31,115.14,122.57
전복,103.766,115.658,107.772,105.464,100,92.72,90.23,84.05,79.48,78.9
마른멸치,92.936,91.916,99.637,103.215,100,97.95,102.35,103.3,106.78,109.44
마른오징어,99.214,105.262,104.293,100.965,100,100.82,137.16,178.65,204.94,212.27
낙지,-,-,-,-,100,98.46,101.73,132.5,130.9,129.27
오징어채,98.747,102.145,99.151,101.08,100,104.39,118.53,140.42,143.05,142.66
북어채,96.666,94.252,94.506,99.291,100,101.4,104.53,104.45,110.54,114.88
어묵,84.448,93.022,98.559,99.474,100,98.86,97.05,105.33,114.94,118.37
맛살,97.7,100.042,100.997,100.96,100,101.64,101.74,101.95,105.78,106.68
생선통조림,86.91,94.346,99.89,100.664,100,99.02,102.1,106.56,107.13,110.24
젓갈,89.881,94.82,94.522,97.29,100,112.75,117.38,122.59,129.27,133.59
우유 · 치즈 및 계란,86.587,90.523,93.806,99.949,100,97.9,106.18,99.71,102.07,104.57
우유,82.684,89.684,93.055,99.982,100,99.54,98.83,100.39,105.03,105.52
분유,82.883,89.577,89.885,96.285,100,93.91,90.53,86.65,86.44,88.43
치즈,102.149,101.947,99.887,99.219,100,99.68,100.76,101.09,100.55,100.9
발효유,87.671,92.618,94.98,98.752,100,101.77,101.03,104.13,105.31,107.35
계란,94.007,88.703,94.94,102.69,100,91.47,131.4,94.49,94.75,102.91
식용유지,95.633,96.06,98.546,101.026,100,100.31,97.45,96.93,98.07,101.85
참기름,95.257,95.102,97.558,100.476,100,101.99,99.49,102.7,107.51,117.94
식용유,95.892,96.874,99.388,101.49,100,98.88,95.7,92.2,90.4,88.84
과일,107.076,117.894,113.369,105.011,100,98.7,112.21,114.99,110.5,114.5
사과,99.895,110.534,112.291,100.422,100,86.57,92.2,97.49,96.14,103.56
배,110.137,123.078,144.411,107.398,100,107.01,99.44,97.86,125.33,122.88
복숭아,122.422,121.197,125.727,117.931,100,100.92,102.27,101.52,100.9,101.12
포도,133.255,140.804,141.285,115.057,100,99.27,113.75,120.12,116.83,126.32
밤,91.038,126.521,132.373,98.712,100,118.28,121.01,108.46,105.54,124.42
감,120.412,134.835,118.025,116.985,100,97.88,115.07,131.61,130.25,136.18
귤,106.469,136.033,108,112.867,100,107.89,192.25,160.81,146.82,138.32
오렌지,99.298,96.453,85.846,100.666,100,92.72,102.38,97.92,82.54,94.47
참외,141.562,133.841,107.633,96.131,100,92.49,93.5,105.04,95.88,100.18
수박,130.88,136.799,138.688,112.952,100,105.66,120.71,135.98,124.08,114.47
딸기,98.099,111.744,87.759,91.463,100,91.58,90.73,101.32,81.69,92.29
바나나,76.018,76.659,95.13,97.016,100,112.52,108.79,106.59,108.03,112.23
키위,96.648,102.503,97.529,105.282,100,90.29,92.91,92.19,94.03,97.48
블루베리,-,-,-,-,100,96.56,96.91,96.57,91,97.38
아몬드,-,-,-,-,100,97.95,92.74,92.02,89.5,87.52
과일가공품,81.558,99.653,100.568,101.118,100,103.52,104.48,104.44,106.53,108.6
채소 및 해조,101.706,106.446,107.783,92.154,100,115.91,116.17,121.69,111.71,127.45
배추,132.778,131.869,157.685,88.453,100,169.62,138.53,141.15,124.55,176.45
상추,88.416,106.35,101.972,87.117,100,117.19,119.57,131.89,126.26,137.36
시금치,92.144,107.278,109.724,82.887,100,128.43,118.84,141.16,125.07,139.47
양배추,124.534,136.197,135.232,76.513,100,133.46,158.51,162.7,132.82,205.66
미나리,87.316,97.74,90.246,91.886,100,114.59,116.11,129.92,124.72,133.89
깻잎,92.031,98.949,95.814,99.745,100,111.23,109.42,123.76,115.8,133.54
부추,111.912,108.502,92.6,86.881,100,114.15,102.52,108.92,107.46,132.15
무,138.534,119.738,115.059,85.256,100,148.44,155.65,181.73,136.16,169.36
열무,162.011,124.025,110.548,94.575,100,125.64,114.04,117.9,129.49,149.27
당근,137.001,115.034,174.252,115.573,100,122.64,149.08,146.61,135.79,166.35
감자,105.538,107.494,86.257,84.747,100,97.07,122.26,148.37,112.57,116.14
고구마,103.654,115.396,93.186,90.494,100,96,102.4,127.89,116.4,134.68
도라지,95.462,98.671,102.966,104.007,100,99.47,100.52,102.6,107.6,111
콩나물,90.265,92.758,98.455,99.674,100,100.51,108.65,110,110.46,110.51
버섯,94.168,97.332,97.678,101.777,100,96.93,94.8,93.16,91.79,87.82
오이,87.306,98.027,99.926,92.9,100,107.09,104.73,112.15,115.94,119.26
풋고추,89.727,106.386,98.058,104.125,100,107.81,107.03,106.76,105.1,121.75
호박,112.061,110.891,103.6,99.532,100,110.4,105.23,120.83,102.93,128.82
가지,115.112,113.943,105.634,98.361,100,106.52,110.62,116.74,110.72,122.59
토마토,116.958,124.69,116.386,105.1,100,112.64,117.86,119.45,118.34,140.11
파,98.423,107.254,103.329,71.156,100,120.26,113.59,114.66,95.21,115.39
양파,81.761,87.412,126.546,74.66,100,107.05,115.34,92.93,79.01,114.93
마늘,110.084,101.292,93.978,81.134,100,132.15,123.72,118.72,102,99.74
브로콜리,104.794,134.637,118.63,110.262,100,128.41,116.25,130.06,132.2,143.84
고사리,89.454,94.064,95.924,100.178,100,97.62,97.73,98.99,99.13,101.45
파프리카,-,-,-,-,100,110.37,104.6,120.1,105.05,120.29
단무지,92.346,94.35,97.405,101.806,100,93.79,92.54,95.76,99.08,99.19
김,82.582,87.146,93.247,98.955,100,107.61,129,139.28,141.82,145.5
맛김,88.275,95.057,96.851,98.007,100,102.94,111.38,114.42,112.8,110.88
미역,68.025,86.469,95.633,98.062,100,100.36,101.18,104.47,105.03,106.7
과자 · 빙과류 및 당류,84.192,87.639,91.083,98.492,100,98.98,100.07,99.97,101.72,102.44
초콜릿,81.283,81.466,81.918,95.618,100,100.14,99.38,99.85,102.47,103.9
사탕,84.423,91.426,98.973,102.025,100,98.47,97.47,97.36,97.06,98.45
껌,99.349,101.565,101.526,100.41,100,99.01,97.2,95.57,93.65,94.21
아이스크림,84.556,87.952,89.309,96.162,100,99.84,97.06,96.27,98.14,99.88
비스킷,80.391,82.396,87.783,99.2,100,100.49,103.44,100.93,100.95,99.93
스낵과자,85.394,90.246,93.47,99.432,100,99.28,103,104.24,107.86,108.56
파이,72.591,74.992,85.029,98.047,100,88.94,86.83,87.88,88.4,89.37
설탕,100.617,104.144,100.771,100.395,100,99.46,99.81,100.38,101.17,101.49
잼,89.594,94.906,99.778,99.199,100,100.37,103.38,104.96,104.54,107.31
꿀,98.184,99.208,100.734,99.782,100,102.25,112.56,115.03,118.01,117.8
물엿,86.737,95.995,98.803,101.151,100,100.22,101.53,99.46,100.16,100.82
기타 식료품,88.097,101.741,99.148,97.483,100,100.04,101.86,108.82,111.7,112.51
고춧가루,101.042,139.755,110.881,94.622,100,96.04,103.52,137.64,135.06,132.85
참깨,94.729,97.262,98.473,98.284,100,99.71,100.26,104.17,107.39,108.11
생강,64.099,73.641,82.832,84.096,100,76.17,58.44,97.01,156.79,126.23
소금,78.881,98.159,97.709,98.413,100,99.98,99.98,99.59,100.27,102.48
간장,81.441,92.358,98.044,100.077,100,100.62,105.92,108.37,109.18,110
된장,87.443,92.971,97.714,99.159,100,100.91,98.5,100.18,99.9,95.36
양념소스,90.515,97.702,96.298,100.339,100,99.68,98.02,97.65,96.79,97.22
고추장,79.927,92.762,97.128,99.272,100,99.65,100.34,101.19,106.77,98.94
카레,97.901,103.591,102.876,101.834,100,102.35,103.25,106.27,106.14,105.21
식초,-,-,-,-,100,101.2,106.08,109.92,115.13,118.65
드레싱,98.24,99.775,100.43,101.414,100,101.89,103.68,104.63,104.87,105.31
혼합조미료,69.273,75.984,81.094,85.825,100,102.3,107.15,110.4,117.51,121.18
스프,102.893,105.137,105.474,105.656,100,107.99,116.17,122.75,124,124.36
이유식,95.235,95.482,96.45,96.926,100,98.4,99.93,92.69,98.84,101.04
김치,86.177,96.133,101.37,100.537,100,107.94,111.1,109.08,109.44,119.19
밑반찬,84.72,92.389,94.413,97.795,100,102.13,104.61,108.61,112.01,114.4
냉동식품,89.697,93.937,94.559,95.155,100,99.82,96.36,97.7,100.09,100.85
즉석식품,90.077,95.287,99.303,99.177,100,99.38,100.94,105.14,109.03,111.19
삼각김밥,96.739,97.116,99.726,100.154,100,99.39,100.34,104.8,109.66,113.42
01.2 비주류 음료,90.486,94.658,97.063,98.168,100,99.83,99.18,100.18,101.61,102.39
커피 · 차 및 코코아,93.477,97.426,98.388,98.325,100,99.71,95.56,95.88,96.46,96.27
커피,94.173,98.199,99.328,98.393,100,100.42,94.84,95.66,96.28,95.55
차,91.591,96.072,96.226,98.167,100,97.39,97.94,96.49,96.92,98.63
생수 · 청량음료 · 과일주스 및 채소주스,88.776,93.055,96.298,98.077,100,99.9,101.16,102.53,104.44,105.78
주스,97.522,101.913,102.328,101.183,100,99.05,98.3,96.93,96.78,95.33
두유,89.709,92.479,99.054,99.875,100,99.6,102.22,108.95,112.39,113.26
생수,94.143,100.013,99.308,99.422,100,99.92,100.05,104.19,109.53,110.18
기능성음료,92.515,93.318,93.853,94.142,100,102.55,102.29,102.79,103.22,103.94
탄산음료,76.807,82.408,87.243,93.315,100,99.54,104.21,104.54,105.6,110.66
혼합음료,86.616,89.563,95.825,98.785,100,101.48,102.42,105.14,110.47,110.34
02 주류 및 담배,64.618,65.584,66.678,66.63,100,100.69,102.21,102.47,103.11,103.44
02.1 주류,93.987,94.703,99.076,99.222,100,102.22,107.12,107.92,109.86,110.85
주류,93.987,94.703,99.076,99.222,100,102.22,107.12,107.92,109.86,110.85
소주,92.089,91.846,99.004,99.037,100,106.4,112.37,113.35,117.47,120.45
과실주,96.253,95.351,101.049,99.317,100,99.21,95.39,97.29,98.14,98.09
맥주,93.839,95.723,98.955,99.371,100,100.76,107.02,107.45,108.72,108.98
막걸리,99.1,98.377,99.256,99.287,100,101.81,104.73,106.32,106.8,107.41
양주,92.667,93.06,97.488,97.928,100,100.01,100.35,101.69,102.18,100.93
약주,93.688,94.179,99.047,100.438,100,99.43,99.79,100.17,104.07,109.47
02.2 담배,55.31,56.355,56.409,56.304,100,100,100,100,100,100
담배,55.31,56.355,56.409,56.304,100,100,100,100,100,100
03 의류 및 신발,87.971,92.179,94.873,98.68,100,101.8,102.9,104.04,104.15,104.91
03.1 의류,87.272,91.4,94.663,98.642,100,101.63,102.8,103.77,103.71,104.35
남자의류,86.933,91.607,95.175,98.334,100,101.23,101.91,102.68,101.4,100.7
남자외의,82.471,87.328,91.986,95.898,100,101.49,101.98,103.06,103.61,103.93
남자상의,93.124,94.37,96.461,100.311,100,102.02,103.04,101.53,102.47,102.57
남자학생복,105.196,117.254,121.526,119.8,100,95.59,100.44,105.37,65.86,44.86
남자하의,84.738,89.354,91.462,95.636,100,101.71,101.92,102.66,103.14,103.32
남자내의,93.852,98.024,99.097,99.43,100,100.41,100.37,100.36,100.81,101.41
여자의류,88.387,92.073,94.545,99.795,100,102.85,104.11,105.48,104.48,105.74
여자외의,87.881,91.162,93.463,99.574,100,104.18,105.24,107.49,107.47,109.91
원피스,88.56,94.274,96.157,97.269,100,101,102.94,105.98,105.41,105.41
여자상의,88.238,90.887,92.943,98.245,100,101.6,102.44,100.93,100.08,100.08
여자학생복,104.916,117.557,121.314,119.488,100,95.91,100.07,104.56,67.5,46.5
여자하의,84.7,87.863,91.465,98.662,100,103.41,105.28,104.76,104.75,108.53
여자내의,92.185,95.324,96.7,98.308,100,102.45,102.58,104.54,105.33,105.77
캐쥬얼의류,85.301,89.391,93.268,97.643,100,100.58,101.16,101.92,103.88,105.53
점퍼,88.106,89.468,91.853,98.201,100,100.04,100.33,101.61,105.09,106.39
티셔츠,87.882,92.733,95.035,97.943,100,101.35,102.19,102.2,102.54,105.98
스웨터,96.141,98.883,98.898,98.918,100,104.84,104.91,104.91,105.79,110.19
청바지,82.066,85.732,95.889,96.574,100,100,100,100,102.7,104.46
운동복,75.796,82.425,89.514,96.395,100,99.82,102.07,102.87,103.39,103.28
등산복,91.632,93.052,94.644,97.867,100,100.43,100.43,102.21,102.14,101.66
아동복 · 유아복,86.269,91.843,96.56,98.804,100,101.98,105.44,105.86,104.35,102.34
아동복,85.844,91.375,96.857,98.686,100,102.12,105.9,106.63,105.07,104.01
유아복,87.567,93.266,95.646,99.149,100,101.54,104.06,103.32,102.03,96.55
기타의류 및 의류 장신구,94.212,96.877,97.74,98.952,100,101.33,101.56,102.51,102.13,101.92
양말,95.476,98.097,98.746,99.777,100,99.41,99.51,99.12,99.09,99.58
모자,97.059,97.059,97.059,97.059,100,105.89,106.44,110.93,108.41,106.47
넥타이,86.512,89.199,93.528,100,100,100.05,100.3,100.35,100.44,100.44
장갑,89.848,97.424,98.379,98.595,100,100.95,100.98,101.46,103.97,103.82
의류 세탁 · 수선 및 임차,94.428,96.284,97.26,98.433,100,101.12,102.99,104.93,107.1,109.24
의복수선료,92.782,94.594,96.108,98.191,100,101.09,103.39,105.44,108.3,110.07
세탁료,96.531,98.474,99.001,99.556,100,100.93,102.62,104.3,106.12,108.48
의복대여료,89.605,90.991,92.442,94.538,100,102.19,104.43,107.33,110.22,111.84
03.2 신발,92.331,97.135,96.197,98.918,100,102.82,103.52,105.77,106.95,108.54
신발,92.331,97.135,96.197,98.918,100,102.82,103.52,105.77,106.95,108.54
아동화,97.792,100,100,100,100,100,99.32,100.15,103.82,106.44
구두,91.607,96.041,96.022,99.089,100,104.44,105.79,111.29,113.13,116.38
운동화,91.012,97.367,95.041,98.387,100,102.55,103.24,103.25,103.25,103.25
실내화,96.83,98.598,99.225,99.439,100,100.74,100.49,100.95,101.19,101.18
04 주택 ·수도 · 전기 및 연료,90.343,94.498,97.841,100.645,100,99.19,100.87,101.58,102.75,103.28
04.1 주택임차료,89.056,92.812,95.282,97.518,100,101.86,103.51,104.15,104.04,104.27
주택임차료,89.056,92.812,95.282,97.518,100,101.86,103.51,104.15,104.04,104.27
전세,86.529,90.796,93.666,96.503,100,103.17,106.14,107.67,107.86,108.2
월세,94.536,97.155,98.763,99.708,100,100.37,100.51,100.23,99.81,99.93
04.3 주거시설 유지 · 보수,87.222,91.564,94.542,96.889,100,101.85,106.04,111,115.3,117.82
주거시설 유지 · 보수,87.222,91.564,94.542,96.889,100,101.85,106.04,111,115.3,117.82
주택수선재료,92.771,96.744,98.386,99.874,100,99.82,100.16,103.27,105.56,106.36
설비수리비,84.959,89.448,93,95.681,100,102.83,108.87,115.05,120.7,124.39
04.4 수도 및 주거관련 서비스,84.36,88.452,93.147,96.173,100,104.72,110.01,114.6,118.92,123.45
상하수도료,84.464,89.792,92.275,95.821,100,107.16,112.74,116.75,118.64,119.58
상수도료,93.06,96.07,97.236,98.029,100,102.7,104.23,105.56,105.46,105.07
하수도료,66.303,76.261,81.58,91.061,100,116.98,131.46,141.38,147.65,151.54
기타 주거관련 서비스,84.376,87.844,93.543,96.334,100,103.73,108.89,113.7,118.89,124.74
공동주택관리비,83.772,87.407,93.367,96.254,100,103.72,109,114,119.46,125.6
쓰레기봉투료,96.626,96.528,96.629,97.541,100,105.44,109.74,111.31,111.87,112.47
정화조청소료,93.26,96.092,97.805,98.592,100,101.36,102.42,104.98,107.2,110.1
04.5 전기 · 가스 및 기타연료,97.212,102.182,106.65,110.605,100,89.05,87.97,85.6,87.05,85.38
전기,93.958,95.878,99.476,101.708,100,95.88,89.83,87.2,87.41,87.41
가스,98.754,105.983,111.948,118.756,100,83.29,86.43,83.17,85.78,82.94
도시가스,97.707,105.167,111.662,118.818,100,82.68,85.55,81.87,84.75,81.81
취사용LPG,112.803,117.021,115.828,117.917,100,94.47,102.54,107.66,104.8,103.94
기타연료 및 에너지,106.382,114.219,115.839,114.701,100,84.01,86.38,89.52,91.64,87.31
등유,137.49,143.621,141.286,135.435,100,82.79,89.49,98.3,100.73,90.33
연탄,99.063,99.213,99.8,100.027,100,103.05,113.64,130.48,148.39,148.54
지역난방비,81.864,92.824,97.694,100.136,100,83.19,81.12,79.03,80.31,80.8
부탄가스,91.891,98.985,99.995,99.828,100,98.4,98.94,97.56,96.73,95.85
05 가정용품 및 가사 서비스,92.538,95.192,95.446,97.476,100,101.55,102.67,104.99,107.23,107.27
05.1 가구 · 가사비품 및 카페트,95.544,98.3,97.009,98.005,100,105.2,108.61,114.63,121.83,122.29
가구 · 가사비품 및 카페트,95.544,98.3,97.009,98.005,100,105.2,108.61,114.63,121.83,122.29
장롱,98.352,101.696,97.243,98.402,100,107.36,109.42,116.77,122.52,122.36
침대,96.266,98.768,98.768,99.589,100,103.98,107.87,115.06,127.22,127.22
거실장,92.187,94.869,93.992,98.723,100,103.05,105.18,110.34,114.08,116.04
소파,104.672,105.977,98.954,94.651,100,108.52,115.9,120.68,126.07,124.98
책상,92.582,94.101,92.136,95.1,100,103.36,107.78,117.22,119.89,122.02
의자,86.796,91.769,96.948,95.779,100,99.68,91.55,90.8,93.55,94.7
식탁,92.309,95.419,93.699,93.975,100,105.67,111.95,117.55,120.54,122.35
싱크대,90.602,94.086,96.928,99.764,100,103.96,105.46,109.23,115.98,119.11
05.2 가정용 섬유제품,98.557,100.965,101.347,100.408,100,101.02,101.98,102.93,104.58,107.63
가정용 섬유제품,98.557,100.965,101.347,100.408,100,101.02,101.98,102.93,104.58,107.63
침구,98.687,101.246,101.621,100.312,100,101.45,102.73,103.83,105.77,109.33
커튼,98.106,99.468,99.875,100.916,100,97.85,96.55,96.56,96.21,95.93
05.3 가정용 기기,91.913,92.093,92.966,96.548,100,101.61,101.48,101.91,102.48,100.88
가정용 기구,93.314,93.577,93.89,97.261,100,100.42,98.58,98.2,98.59,97.21
전기밥솥,109.149,108.001,109.191,100.831,100,101.47,96.08,105.53,93.82,86.23
가스레인지,93.624,93.452,97.667,104.377,100,106.17,94.73,96.48,91.51,90.12
전자레인지,101.536,102.863,101.045,99.63,100,103.97,102.75,103.64,105.29,104.75
전기레인지,-,-,-,-,100,82.85,73.35,77.8,75.79,96.96
냉장고,84.209,85.632,88.732,96.736,100,98.22,94.28,92.14,92.85,93.49
김치냉장고,95.526,92.048,88.398,95.614,100,96.05,92.36,90.8,92.61,89.86
에어컨,96.178,96.395,95.849,97.839,100,102.38,108.3,109.95,112.12,110.24
선풍기,86.063,93.705,94.968,96.344,100,100.83,90.04,85.7,89.5,91.67
공기청정기,107.025,109.605,113.003,104.603,100,106.22,108.08,106.21,102.04,105.57
세탁기,88.141,89.644,90.105,92.997,100,102.37,105.79,106.64,107.4,106.74
청소기,91.586,92.073,90.192,93.991,100,108.06,106.92,105.25,105.02,107.67
믹서,103.03,102.07,102.646,102.73,100,97.74,97.01,93.95,83.96,74.68
보온매트,94.597,94.644,94.644,95.537,100,101.63,101.65,102.98,108.88,106.85
비데,95.197,97.031,97.158,97.586,100,101.22,92.19,88.51,100.35,88.16
가정용 기구 수리서비스,88.778,88.778,90.902,94.963,100,104.55,108.65,112.48,113.78,111.38
가전제품수리비,86.696,86.696,86.696,94.282,100,108.12,115.06,123.32,125.77,131.28
가전제품렌탈비,90.736,90.736,94.862,95.599,100,101.31,102.85,103.13,103.51,94.85
05.4 주방용품 및 가정용품,87.889,92.41,93.354,95.232,100,100.66,100.78,102.12,102.36,103.36
주방용품 및 가정용품,87.889,92.41,93.354,95.232,100,100.66,100.78,102.12,102.36,103.36
식기,80.784,87.513,89.477,90.29,100,101.63,106.5,109.42,112.48,117.31
컵,85.973,90.526,90.247,91.175,100,99.21,94.91,92.63,91.38,89.86
솥,91.485,94.193,94.703,98.78,100,96.69,98.51,99.2,100.28,103.23
프라이팬,103.976,102.605,102.344,102.206,100,100.5,99.6,96.72,94.84,93.85
냄비,94.252,97.224,98.871,100.103,100,100.93,99.79,99.28,98.47,98.32
수저,93.713,95.906,97.261,99.171,100,100.83,100.37,101.23,102.87,104.03
밀폐용기,77.448,83.784,84.793,90.877,100,101.19,96.81,101.91,99.83,98.21
부엌용용구,94.559,99.321,98.952,99.132,100,100.03,102.47,104.99,106.73,108.58
05.5 가정 · 정원용 공구 및 장비,93.488,96.051,100.272,101.437,100,100.2,101.3,102.05,100.96,101.42
가정 · 정원용 공구 및 장비,93.488,96.051,100.272,101.437,100,100.2,101.3,102.05,100.96,101.42
보일러,97.702,100.235,100.359,100.271,100,99.91,100.17,100.6,101.08,103.74
건전지,95.111,96.531,97.185,97.676,100,103.81,107.55,108.5,110.96,113.92
디지털도어록,85.511,89.092,101.085,104.508,100,99.59,100.85,102.04,97.92,94.68
05.6 일상 생활용품 및 가사 서비스,91.801,96.384,95.776,97.566,100,99.19,100.54,104.22,107.03,107.98
비내구성 가정용품,99.325,102.88,98.417,98.786,100,96.35,95.19,94.34,95.33,94.97
세탁세제,108.147,109.618,99.908,100.577,100,91.24,89.58,87.63,87.14,86.61
섬유유연제,97.492,101.06,89.765,91.502,100,95.02,89.07,88.12,86.56,81.08
전구,87.856,98.786,99.334,97.535,100,100.23,95.8,93.6,92.4,91.8
부엌용세제,91.544,97.476,98.069,98.264,100,101.89,101.53,96.67,96.85,97.88
청소용세제,89.93,98.558,99.579,99.669,100,100.37,100.96,101.48,108.91,111.59
살충제,87.859,94.381,96.353,97.996,100,97.68,101.82,103.29,100.95,107.48
가정용비닐용품,88.228,92.551,94.887,98.378,100,99.73,100.67,105.24,116.83,120.75
