"시도별","지출목적별",2020,2019,2018,2017,2016,2015,2014,2013,2012,2011
"전국","0 총지수",105.42,104.85,104.45,102.93,100.97,100.00,99.298,98.048,96.789,94.717
"전국","01 식료품 · 비주류음료",113.58,108.77,108.72,105.78,102.31,100.00,98.377,98.090,97.256,93.550
"전국","01.1 식료품",114.35,109.24,109.30,106.22,102.47,100.00,98.390,98.164,97.441,93.745
"전국","빵 및 곡물",113.81,113.18,107.23,98.27,98.08,100.00,100.547,99.840,95.558,91.252
"전국","쌀",117.77,116.83,107.79,84.82,89.68,100.00,102.321,104.157,98.742,90.052
"전국","현미",115.76,120.39,103.25,89.86,96.00,100.00,-,-,-,-
"전국","찹쌀",115.30,120.66,103.94,89.34,95.67,100.00,99.737,104.217,97.120,108.693
"전국","보리쌀",95.69,104.59,106.35,102.77,100.88,100.00,103.562,95.264,78.826,65.053
"전국","콩",130.54,149.25,136.34,117.71,91.71,100.00,105.726,120.304,116.332,125.332
"전국","땅콩",112.61,106.11,99.10,99.12,100.57,100.00,98.204,105.965,108.366,81.066
"전국","혼식곡",102.35,103.23,95.56,89.00,93.06,100.00,111.785,122.535,105.375,109.805
"전국","밀가루",99.43,100.50,98.83,97.79,98.92,100.00,100.896,98.420,89.600,88.910
"전국","국수",95.80,93.31,94.99,95.68,98.93,100.00,103.366,104.151,102.897,100.333
"전국","라면",104.78,104.99,105.11,104.77,99.37,100.00,100.002,99.921,99.411,92.533
"전국","당면",104.94,104.47,102.31,100.50,100.33,100.00,99.909,99.234,98.732,95.931
"전국","두부",103.12,100.88,99.08,99.16,101.62,100.00,100.144,99.603,93.601,92.197
"전국","시리얼",94.17,93.85,92.72,94.73,99.37,100.00,95.737,99.274,104.647,102.462
"전국","부침가루",99.31,97.71,97.96,99.27,96.81,100.00,99.748,98.545,100.125,95.084
"전국","케이크",119.86,117.81,114.55,111.20,104.33,100.00,98.113,92.647,92.378,90.351
"전국","빵",120.37,118.04,112.53,105.80,103.78,100.00,98.896,93.256,86.963,83.587
"전국","떡",114.31,112.30,104.33,100.98,100.41,100.00,99.320,97.818,95.804,93.449
"전국","파스타면",103.03,96.42,95.81,95.40,95.59,100.00,-,-,-,-
"전국","육류",112.95,105.63,105.97,106.39,104.43,100.00,95.927,87.956,89.644,95.570
